number,word
0,FizzBuzz
1,hair
2,describe
3,Fizz
4,valuable
5,Buzz
6,Fizz
7,value
8,driven
9,Fizz
10,Buzz
11,school
12,Fizz
13,wild
14,answer
15,FizzBuzz
16,lying
17,mine
18,Fizz
19,indicate
20,Buzz
21,Fizz
22,independent
23,manufacturing
24,Fizz
25,Buzz
26,strike
27,Fizz
28,report
29,present
30,FizzBuzz
31,complete
32,aid
33,Fizz
34,managed
35,Buzz
36,Fizz
37,sell
38,crowd
39,Fizz
40,Buzz
41,reader
42,Fizz
43,just
44,whatever
45,FizzBuzz
46,everybody
47,drew
48,Fizz
49,spite
50,Buzz
51,Fizz
52,gray
53,social
54,Fizz
55,Buzz
56,blood
57,Fizz
58,gave
59,interior
60,FizzBuzz
61,mark
62,hour
63,Fizz
64,forty
65,Buzz
66,Fizz
67,art
68,both
69,Fizz
70,Buzz
71,fifth
72,Fizz
73,run
74,honor
75,FizzBuzz
76,along
77,police
78,Fizz
79,attached
80,Buzz
81,Fizz
82,then
83,higher
84,Fizz
85,Buzz
86,liquid
87,Fizz
88,fifth
89,warm
90,FizzBuzz
91,path
92,gone
93,Fizz
94,president
95,Buzz
96,Fizz
97,shallow
98,secret
99,Fizz
100,Buzz
