number,word
1,friend
2,cast
3,Fizz
4,castle
5,Buzz
6,Fizz
7,help
8,solution
9,Fizz
10,Buzz
11,Doh!
12,Fizz
13,queen
14,Doh!
15,FizzBuzz
16,influence
17,Doh!
18,Fizz
19,doubt
20,Buzz
21,Fizz
22,popular
23,grandmother
24,Fizz
25,Buzz
26,feel
27,Fizz
28,stems
29,room
30,FizzBuzz
31,zipper
32,courage
33,Fizz
34,rocky
35,Buzz
36,Fizz
37,fellow
38,total
39,Fizz
40,Buzz
41,but
42,Fizz
43,stems
44,Doh!
45,FizzBuzz
46,our
47,complete
48,Fizz
49,face
50,Buzz
51,Fizz
52,victory
53,softly
54,Fizz
55,Buzz
56,bright
57,Fizz
58,question
59,look
60,FizzBuzz
61,trunk
62,atmosphere
63,Fizz
64,ants
65,Buzz
66,Fizz
67,involved
68,above
69,Fizz
70,Buzz
71,six
72,Fizz
73,Doh!
74,Doh!
75,FizzBuzz
76,home
77,gold
78,Fizz
79,fear
80,Buzz
81,Fizz
82,Doh!
83,division
84,Fizz
85,Buzz
86,mathematics
87,Fizz
88,cool
89,pictured
90,FizzBuzz
91,pay
92,mark
93,Fizz
94,difficult
95,Buzz
96,Fizz
97,everywhere
98,till
99,Fizz
100,Buzz
