number,word
1,yellow
2,spirit
3,Fizz
4,having
5,Buzz
6,Fizz
7,mood
8,hungry
9,Fizz
10,Buzz
11,forgot
12,Fizz
13,copper
14,speak
15,FizzBuzz
16,wash
17,possibly
18,Fizz
19,invented
20,Buzz
21,Fizz
22,shape
23,book
24,Fizz
25,Buzz
26,this
27,Fizz
28,closer
29,travel
30,FizzBuzz
31,shout
32,plate
33,Fizz
34,city
35,Buzz
36,Fizz
37,adventure
38,guide
39,Fizz
40,Buzz
41,tip
42,Fizz
43,teeth
44,lose
45,FizzBuzz
46,duty
47,bound
48,Fizz
49,noun
50,Buzz
51,Fizz
52,only
53,say
54,Fizz
55,Buzz
56,four
57,Fizz
58,jar
59,distant
60,FizzBuzz
61,young
62,east
63,Fizz
64,language
65,Buzz
66,Fizz
67,until
68,voyage
69,Fizz
70,Buzz
71,hay
72,Fizz
73,able
74,development
75,FizzBuzz
76,stood
77,atomic
78,Fizz
79,fresh
80,Buzz
81,Fizz
82,information
83,split
84,Fizz
85,Buzz
86,threw
87,Fizz
88,only
89,pressure
90,FizzBuzz
91,record
92,muscle
93,Fizz
94,possibly
95,Buzz
96,Fizz
97,scientific
98,carefully
99,Fizz
100,Buzz
