number,word
1,dot
2,cattle
3,Fizz
4,foreign
5,Buzz
6,Fizz
7,when
8,better
9,Fizz
10,Buzz
11,different
12,Fizz
13,bottle
14,discover
15,FizzBuzz
16,us
17,basis
18,Fizz
19,label
20,Buzz
21,Fizz
22,manufacturing
23,engine
24,Fizz
25,Buzz
26,all
27,Fizz
28,merely
29,decide
30,FizzBuzz
31,around
32,instant
33,Fizz
34,union
35,Buzz
36,Fizz
37,favorite
38,behavior
39,Fizz
40,Buzz
41,tie
42,Fizz
43,sport
44,number
45,FizzBuzz
46,element
47,variety
48,Fizz
49,refused
50,Buzz
51,Fizz
52,brown
53,planet
54,Fizz
55,Buzz
56,structure
57,Fizz
58,such
59,still
60,FizzBuzz
61,warm
62,firm
63,Fizz
64,been
65,Buzz
66,Fizz
67,across
68,sink
69,Fizz
70,Buzz
71,hidden
72,Fizz
73,but
74,familiar
75,FizzBuzz
76,who
77,breakfast
78,Fizz
79,poetry
80,Buzz
81,Fizz
82,buffalo
83,everybody
84,Fizz
85,Buzz
86,recent
87,Fizz
88,part
89,because
90,FizzBuzz
91,molecular
92,happily
93,Fizz
94,chosen
95,Buzz
96,Fizz
97,paragraph
98,oldest
99,Fizz
100,Buzz
