number,word
1,hour
2,below
3,Fizz
4,anything
5,Buzz
6,Fizz
7,follow
8,front
9,Fizz
10,Buzz
11,whenever
12,Fizz
13,slide
14,rocky
15,FizzBuzz
16,balloon
17,began
18,Fizz
19,accident
20,Buzz
21,Fizz
22,specific
23,book
24,Fizz
25,Buzz
26,moving
27,Fizz
28,fill
29,limited
30,FizzBuzz
31,dog
32,crew
33,Fizz
34,select
35,Buzz
36,Fizz
37,hand
38,railroad
39,Fizz
40,Buzz
41,close
42,Fizz
43,swung
44,sport
45,FizzBuzz
46,none
47,broken
48,Fizz
49,protection
50,Buzz
51,Fizz
52,due
53,enough
54,Fizz
55,Buzz
56,hang
57,Fizz
58,known
59,settle
60,FizzBuzz
61,pick
62,news
63,Fizz
64,famous
65,Buzz
66,Fizz
67,stretch
68,discussion
69,Fizz
70,Buzz
71,correctly
72,Fizz
73,sea
74,become
75,FizzBuzz
76,truck
77,until
78,Fizz
79,change
80,Buzz
81,Fizz
82,movement
83,ask
84,Fizz
85,Buzz
86,bark
87,Fizz
88,west
89,fell
90,FizzBuzz
91,properly
92,beneath
93,Fizz
94,pour
95,Buzz
96,Fizz
97,dark
98,breeze
99,Fizz
100,Buzz
