number,word
0,FizzBuzz
1,origin
2,rubbed
3,Fizz
4,neighborhood
5,Buzz
6,Fizz
7,carefully
8,blank
9,Fizz
10,Buzz
11,captured
12,Fizz
13,very
14,poor
15,FizzBuzz
16,rhythm
17,pony
18,Fizz
19,tape
20,Buzz
21,Fizz
22,anywhere
23,straight
24,Fizz
25,Buzz
26,involved
27,Fizz
28,behind
29,baseball
30,FizzBuzz
31,answer
32,ruler
33,Fizz
34,rice
35,Buzz
36,Fizz
37,merely
38,glass
39,Fizz
40,Buzz
41,begun
42,Fizz
43,baby
44,within
45,FizzBuzz
46,suddenly
47,plant
48,Fizz
49,stranger
50,Buzz
51,Fizz
52,eager
53,tales
54,Fizz
55,Buzz
56,adult
57,Fizz
58,ear
59,bean
60,FizzBuzz
61,hunt
62,substance
63,Fizz
64,tears
65,Buzz
66,Fizz
67,mood
68,supply
69,Fizz
70,Buzz
71,eaten
72,Fizz
73,ruler
74,slave
75,FizzBuzz
76,classroom
77,settlers
78,Fizz
79,hope
80,Buzz
81,Fizz
82,egg
83,post
84,Fizz
85,Buzz
86,group
87,Fizz
88,dance
89,luck
90,FizzBuzz
91,cotton
92,cutting
93,Fizz
94,occasionally
95,Buzz
96,Fizz
97,horse
98,too
99,Fizz
100,Buzz
