number,word
1,behavior
2,make
3,Fizz
4,total
5,Buzz
6,Fizz
7,led
8,ship
9,Fizz
10,Buzz
11,ago
12,Fizz
13,secret
14,travel
15,FizzBuzz
16,adjective
17,uncle
18,Fizz
19,cabin
20,Buzz
21,Fizz
22,greatly
23,fuel
24,Fizz
25,Buzz
26,cream
27,Fizz
28,couple
29,loud
30,FizzBuzz
31,smooth
32,personal
33,Fizz
34,after
35,Buzz
36,Fizz
37,rush
38,mistake
39,Fizz
40,Buzz
41,steady
42,Fizz
43,height
44,pour
45,FizzBuzz
46,cool
47,former
48,Fizz
49,again
50,Buzz
51,Fizz
52,climb
53,hurried
54,Fizz
55,Buzz
56,entire
57,Fizz
58,ancient
59,tiny
60,FizzBuzz
61,bus
62,certainly
63,Fizz
64,feathers
65,Buzz
66,Fizz
67,count
68,frighten
69,Fizz
70,Buzz
71,tongue
72,Fizz
73,opportunity
74,blind
75,FizzBuzz
76,familiar
77,out
78,Fizz
79,test
80,Buzz
81,Fizz
82,never
83,printed
84,Fizz
85,Buzz
86,writing
87,Fizz
88,wise
89,mind
90,FizzBuzz
91,though
92,drive
93,Fizz
94,grandmother
95,Buzz
96,Fizz
97,think
98,school
99,Fizz
100,Buzz
