number,word
1,basket
2,Doh!
3,Fizz
4,film
5,Buzz
6,Doh!
7,molecular
8,plus
9,Fizz
10,Doh!
11,Doh!
12,Fizz
13,instead
14,frozen
15,FizzBuzz
16,offer
17,river
18,Fizz
19,wool
20,Buzz
21,Doh!
22,mass
23,industry
24,Fizz
25,Buzz
26,easy
27,Doh!
28,Doh!
29,personal
30,FizzBuzz
31,home
32,damage
33,Doh!
34,lake
35,Buzz
36,Fizz
37,then
38,blanket
39,Fizz
40,Buzz
41,Doh!
42,Fizz
43,decide
44,motor
45,FizzBuzz
46,Doh!
47,equipment
48,Fizz
49,tin
50,Buzz
51,Fizz
52,official
53,sang
54,Fizz
55,Buzz
56,that
57,Fizz
58,pale
59,garage
60,FizzBuzz
61,safety
62,magnet
63,Fizz
64,hunter
65,Buzz
66,Doh!
67,Doh!
68,Doh!
69,Fizz
70,Doh!
71,cabin
72,Doh!
73,Doh!
74,Doh!
75,FizzBuzz
76,whale
77,program
78,Fizz
79,Doh!
80,Buzz
81,Fizz
82,finish
83,rope
84,Fizz
85,Doh!
86,talk
87,Doh!
88,industry
89,sight
90,FizzBuzz
91,Doh!
92,pay
93,Fizz
94,certainly
95,Buzz
96,Fizz
97,identity
98,Doh!
99,Fizz
100,Buzz
