number,word
1,advice
2,bar
3,Fizz
4,partly
5,Buzz
6,Fizz
7,late
8,south
9,Fizz
10,Buzz
11,by
12,Fizz
13,flat
14,ancient
15,FizzBuzz
16,coast
17,pot
18,Fizz
19,buried
20,Buzz
21,Fizz
22,cover
23,tie
24,Fizz
25,Buzz
26,sun
27,Fizz
28,studying
29,met
30,FizzBuzz
31,parent
32,separate
33,Fizz
34,scale
35,Buzz
36,Fizz
37,influence
38,neighborhood
39,Fizz
40,Buzz
41,adjective
42,Fizz
43,edge
44,appropriate
45,FizzBuzz
46,understanding
47,discuss
48,Fizz
49,evidence
50,Buzz
51,Fizz
52,produce
53,he
54,Fizz
55,Buzz
56,simple
57,Fizz
58,settlers
59,ride
60,FizzBuzz
61,scientific
62,tea
63,Fizz
64,thousand
65,Buzz
66,Fizz
67,label
68,bill
69,Fizz
70,Buzz
71,wrote
72,Fizz
73,aware
74,plain
75,FizzBuzz
76,wild
77,cookies
78,Fizz
79,pride
80,Buzz
81,Fizz
82,same
83,whenever
84,Fizz
85,Buzz
86,situation
87,Fizz
88,birth
89,minerals
90,FizzBuzz
91,lack
92,exciting
93,Fizz
94,most
95,Buzz
96,Fizz
97,enter
98,couple
99,Fizz
100,Buzz
