number,word
1,progress
2,smell
3,Fizz
4,secret
5,Buzz
6,Fizz
7,took
8,blow
9,Fizz
10,Buzz
11,cook
12,Fizz
13,basket
14,rubbed
15,FizzBuzz
16,evidence
17,attempt
18,Fizz
19,tea
20,Buzz
21,Fizz
22,hot
23,school
24,Fizz
25,Buzz
26,center
27,Fizz
28,certain
29,protection
30,FizzBuzz
31,we
32,break
33,Fizz
34,member
35,Buzz
36,Fizz
37,send
38,hold
39,Fizz
40,Buzz
41,signal
42,Fizz
43,divide
44,shoe
45,FizzBuzz
46,distance
47,take
48,Fizz
49,say
50,Buzz
51,Fizz
52,camp
53,duck
54,Fizz
55,Buzz
56,that
57,Fizz
58,forgot
59,recall
60,FizzBuzz
61,press
62,passage
63,Fizz
64,catch
65,Buzz
66,Fizz
67,mix
68,leather
69,Fizz
70,Buzz
71,ground
72,Fizz
73,opposite
74,pattern
75,FizzBuzz
76,explain
77,now
78,Fizz
79,citizen
80,Buzz
81,Fizz
82,kids
83,process
84,Fizz
85,Buzz
86,forty
87,Fizz
88,cross
89,pilot
90,FizzBuzz
91,correctly
92,however
93,Fizz
94,slept
95,Buzz
96,Fizz
97,transportation
98,agree
99,Fizz
100,Buzz
