number,word
1,dozen
2,shelf
3,Fizz
4,practice
5,Buzz
6,Fizz
7,refer
8,up
9,Fizz
10,Buzz
11,music
12,Fizz
13,speech
14,fire
15,FizzBuzz
16,frog
17,claws
18,Fizz
19,classroom
20,Buzz
21,Fizz
22,wagon
23,depth
24,Fizz
25,Buzz
26,wide
27,Fizz
28,south
29,beautiful
30,FizzBuzz
31,rich
32,daily
33,Fizz
34,planet
35,Buzz
36,Fizz
37,wife
38,fix
39,Fizz
40,Buzz
41,mirror
42,Fizz
43,sit
44,recognize
45,FizzBuzz
46,appearance
47,short
48,Fizz
49,thing
50,Buzz
51,Fizz
52,everyone
53,dinner
54,Fizz
55,Buzz
56,cry
57,Fizz
58,been
59,daughter
60,FizzBuzz
61,plan
62,bow
63,Fizz
64,region
65,Buzz
66,Fizz
67,belt
68,handle
69,Fizz
70,Buzz
71,him
72,Fizz
73,element
74,weight
75,FizzBuzz
76,believed
77,dress
78,Fizz
79,success
80,Buzz
81,Fizz
82,hospital
83,danger
84,Fizz
85,Buzz
86,very
87,Fizz
88,was
89,today
90,FizzBuzz
91,now
92,ask
93,Fizz
94,consonant
95,Buzz
96,Fizz
97,seems
98,game
99,Fizz
100,Buzz
