number,word
0,FizzBuzz
1,grass
2,softly
3,Fizz
4,zulu
5,Buzz
6,Fizz
7,war
8,inside
9,Fizz
10,Buzz
11,remember
12,Fizz
13,cell
14,muscle
15,FizzBuzz
16,moving
17,aside
18,Fizz
19,chance
20,Buzz
21,Fizz
22,bet
23,pole
24,Fizz
25,Buzz
26,all
27,Fizz
28,taught
29,spring
30,FizzBuzz
31,season
32,one
33,Fizz
34,tin
35,Buzz
36,Fizz
37,neighborhood
38,shot
39,Fizz
40,Buzz
41,bell
42,Fizz
43,rope
44,consider
45,FizzBuzz
46,lamp
47,strength
48,Fizz
49,of
50,Buzz
51,Fizz
52,growth
53,many
54,Fizz
55,Buzz
56,brother
57,Fizz
58,stronger
59,basic
60,FizzBuzz
61,location
62,nation
63,Fizz
64,wish
65,Buzz
66,Fizz
67,afternoon
68,pretty
69,Fizz
70,Buzz
71,bicycle
72,Fizz
73,entirely
74,unknown
75,FizzBuzz
76,zulu
77,owner
78,Fizz
79,straw
80,Buzz
81,Fizz
82,satisfied
83,suddenly
84,Fizz
85,Buzz
86,move
87,Fizz
88,union
89,tired
90,FizzBuzz
91,detail
92,weather
93,Fizz
94,many
95,Buzz
96,Fizz
97,old
98,club
99,Fizz
100,Buzz
