number,word
1,similar
2,fully
3,Fizz
4,finally
5,Buzz
6,Fizz
7,sent
8,score
9,Fizz
10,Buzz
11,distance
12,Fizz
13,invented
14,brought
15,FizzBuzz
16,crop
17,trip
18,Fizz
19,announced
20,Buzz
21,Fizz
22,throw
23,favorite
24,Fizz
25,Buzz
26,stomach
27,Fizz
28,day
29,root
30,FizzBuzz
31,though
32,loose
33,Fizz
34,worried
35,Buzz
36,Fizz
37,wife
38,write
39,Fizz
40,Buzz
41,climate
42,Fizz
43,red
44,eye
45,FizzBuzz
46,be
47,near
48,Fizz
49,statement
50,Buzz
51,Fizz
52,indeed
53,search
54,Fizz
55,Buzz
56,silk
57,Fizz
58,ear
59,game
60,FizzBuzz
61,start
62,claws
63,Fizz
64,gave
65,Buzz
66,Fizz
67,although
68,silence
69,Fizz
70,Buzz
71,band
72,Fizz
73,catch
74,object
75,FizzBuzz
76,shore
77,if
78,Fizz
79,question
80,Buzz
81,Fizz
82,adjective
83,round
84,Fizz
85,Buzz
86,cry
87,Fizz
88,particles
89,riding
90,FizzBuzz
91,silent
92,organization
93,Fizz
94,steam
95,Buzz
96,Fizz
97,taken
98,kind
99,Fizz
100,Buzz
