number,word
1,live
2,skill
3,Fizz
4,white
5,Buzz
6,Fizz
7,because
8,explain
9,Fizz
10,Buzz
11,boy
12,Fizz
13,gun
14,under
15,FizzBuzz
16,exist
17,weak
18,Fizz
19,direct
20,Buzz
21,Fizz
22,teacher
23,alone
24,Fizz
25,Buzz
26,meat
27,Fizz
28,affect
29,electricity
30,FizzBuzz
31,biggest
32,cut
33,Fizz
34,farmer
35,Buzz
36,Fizz
37,wrote
38,author
39,Fizz
40,Buzz
41,tape
42,Fizz
43,because
44,closer
45,FizzBuzz
46,negative
47,you
48,Fizz
49,highway
50,Buzz
51,Fizz
52,is
53,already
54,Fizz
55,Buzz
56,hard
57,Fizz
58,brass
59,torn
60,FizzBuzz
61,close
62,mile
63,Fizz
64,floating
65,Buzz
66,Fizz
67,mile
68,border
69,Fizz
70,Buzz
71,machinery
72,Fizz
73,bear
74,trick
75,FizzBuzz
76,western
77,battle
78,Fizz
79,beneath
80,Buzz
81,Fizz
82,brass
83,tape
84,Fizz
85,Buzz
86,general
87,Fizz
88,voice
89,world
90,FizzBuzz
91,east
92,nice
93,Fizz
94,then
95,Buzz
96,Fizz
97,bread
98,wife
99,Fizz
100,Buzz
