number,word
1,score
2,tropical
3,Fizz
4,meat
5,Buzz
6,Fizz
7,mathematics
8,government
9,Fizz
10,Buzz
11,name
12,Fizz
13,solar
14,plan
15,FizzBuzz
16,twenty
17,least
18,Fizz
19,life
20,Buzz
21,Fizz
22,worth
23,voice
24,Fizz
25,Buzz
26,pony
27,Fizz
28,stick
29,couple
30,FizzBuzz
31,yet
32,hat
33,Fizz
34,shinning
35,Buzz
36,Fizz
37,jar
38,tube
39,Fizz
40,Buzz
41,sang
42,Fizz
43,forgot
44,year
45,FizzBuzz
46,black
47,occur
48,Fizz
49,attention
50,Buzz
51,Fizz
52,school
53,composed
54,Fizz
55,Buzz
56,flow
57,Fizz
58,itself
59,species
60,FizzBuzz
61,birth
62,pile
63,Fizz
64,pay
65,Buzz
66,Fizz
67,as
68,slowly
69,Fizz
70,Buzz
71,famous
72,Fizz
73,together
74,learn
75,FizzBuzz
76,receive
77,light
78,Fizz
79,fewer
80,Buzz
81,Fizz
82,police
83,lack
84,Fizz
85,Buzz
86,science
87,Fizz
88,trap
89,cent
90,FizzBuzz
91,parent
92,worker
93,Fizz
94,skill
95,Buzz
96,Fizz
97,volume
98,nearly
99,Fizz
100,Buzz
